Date,Source,Category,Amount,Taxable,Notes
2025-03-02,Freelance Project,Freelance,104153.18,Yes,Seed 430
2022-10-12,Employer Payroll,Rental,200970.15,No,Seed 431
2025-11-20,Freelance Project,Freelance,73671.95,No,Seed 432
2025-12-08,Interest Credit,Other,177613.62,Yes,Seed 433
2025-12-04,Rental Transfer,Dividends,89414.45,Yes,Seed 434
2025-08-29,Freelance Project,Freelance,128668.16,No,Seed 435
2023-12-02,Rental Transfer,Dividends,24234.79,Yes,Seed 436
2023-05-25,Consulting Client,Dividends,76419.02,Yes,Seed 437
2024-07-18,Interest Credit,Salary,174752.7,No,Seed 438
2025-12-08,Rental Transfer,Rental,165788.97,Yes,Seed 439
2025-03-25,Interest Credit,Other,168433.88,Yes,Seed 440
2022-03-08,Freelance Project,Rental,77094.85,Yes,Seed 441
2025-01-31,Rental Transfer,Freelance,101981.07,No,Seed 442
2024-11-17,Rental Transfer,Interest,14631.55,No,Seed 443
2023-07-24,Rental Transfer,Other,87394.09,No,Seed 444
2023-05-23,Interest Credit,Other,203734.61,No,Seed 445
2025-07-14,Freelance Project,Dividends,152089.0,Yes,Seed 446
2022-04-03,Freelance Project,Interest,109753.13,No,Seed 447
2025-08-17,Rental Transfer,Interest,67583.41,No,Seed 448
2025-05-27,Consulting Client,Other,202204.85,No,Seed 449
2025-07-07,Employer Payroll,Other,206286.15,Yes,Seed 450
2023-09-17,Employer Payroll,Rental,70244.07,No,Seed 451
2022-02-06,Consulting Client,Salary,107500.66,Yes,Seed 452
2024-12-12,Rental Transfer,Salary,82311.11,No,Seed 453
2025-08-31,Interest Credit,Other,48203.84,Yes,Seed 454
2024-07-19,Consulting Client,Business,55025.77,No,Seed 455
2025-07-05,Employer Payroll,Interest,9875.72,Yes,Seed 456
2025-12-10,Freelance Project,Salary,41524.85,Yes,Seed 457
2022-07-06,Rental Transfer,Rental,34277.76,Yes,Seed 458
2023-01-22,Freelance Project,Interest,73740.49,No,Seed 459
2024-12-20,Rental Transfer,Dividends,169403.93,Yes,Seed 460
2024-09-02,Freelance Project,Interest,81790.37,No,Seed 461
2023-10-11,Freelance Project,Freelance,72637.73,No,Seed 462
2022-10-28,Employer Payroll,Business,3034.7,Yes,Seed 463
2025-01-09,Freelance Project,Business,87630.79,No,Seed 464
2022-03-04,Rental Transfer,Business,140241.69,Yes,Seed 465
2023-02-14,Employer Payroll,Freelance,86524.13,No,Seed 466
2024-02-10,Freelance Project,Other,75646.38,Yes,Seed 467
2022-06-09,Interest Credit,Salary,136901.93,Yes,Seed 468
2022-07-10,Freelance Project,Freelance,174944.03,Yes,Seed 469
2025-01-26,Interest Credit,Dividends,202592.76,Yes,Seed 470
2022-02-06,Interest Credit,Salary,64456.67,No,Seed 471
2022-06-02,Employer Payroll,Interest,188316.8,No,Seed 472
2022-07-07,Interest Credit,Rental,215288.41,Yes,Seed 473
2023-05-22,Freelance Project,Salary,104368.01,Yes,Seed 474
2024-05-10,Consulting Client,Dividends,215760.09,No,Seed 475
2024-01-22,Freelance Project,Business,56714.53,Yes,Seed 476
2022-07-23,Freelance Project,Rental,93542.62,Yes,Seed 477
2025-05-26,Freelance Project,Freelance,113540.25,No,Seed 478
2022-09-02,Rental Transfer,Salary,169762.04,No,Seed 479
2022-02-08,Employer Payroll,Dividends,120730.99,No,Seed 480
2025-07-08,Employer Payroll,Rental,195092.61,Yes,Seed 481
2023-03-29,Employer Payroll,Salary,92584.16,Yes,Seed 482
2023-12-23,Rental Transfer,Freelance,212901.82,Yes,Seed 483
2025-11-17,Interest Credit,Freelance,170591.53,No,Seed 484
2025-06-19,Freelance Project,Business,86169.18,Yes,Seed 485
2024-03-25,Employer Payroll,Interest,48519.55,Yes,Seed 486
2024-10-07,Consulting Client,Dividends,122424.85,No,Seed 487
2022-03-30,Consulting Client,Business,25264.4,Yes,Seed 488
2024-02-05,Consulting Client,Dividends,55670.75,Yes,Seed 489
2022-12-13,Freelance Project,Other,104407.95,Yes,Seed 490
2024-07-01,Freelance Project,Dividends,148066.62,No,Seed 491
2025-11-07,Interest Credit,Freelance,215179.57,Yes,Seed 492
2022-08-21,Interest Credit,Business,29757.96,No,Seed 493
2024-12-07,Rental Transfer,Business,190450.59,No,Seed 494
2023-04-08,Interest Credit,Dividends,175005.36,Yes,Seed 495
2022-02-04,Consulting Client,Rental,56006.14,Yes,Seed 496
2023-11-03,Consulting Client,Dividends,65776.83,No,Seed 497
2023-06-20,Interest Credit,Business,200469.03,Yes,Seed 498
2022-05-25,Consulting Client,Business,208427.12,No,Seed 499
2025-09-08,Consulting Client,Dividends,112379.3,No,Seed 500
