Date,Vendor,Category,Amount,Mode,Notes
2025-08-18,Amazon,Healthcare,18739.3,Card,Seed 439
2023-06-04,Amazon,Food,15281.8,Bank,Seed 440
2024-03-27,Uber,Food,34682.04,Cash,Seed 441
2023-09-29,Pharmacy,Debt Payment,42139.85,Bank,Seed 442
2022-05-29,School,Family,7896.8,Cash,Seed 443
2022-07-13,Pharmacy,Travel,24251.91,Card,Seed 444
2025-08-02,Fuel Pump,Healthcare,27099.15,Bank,Seed 445
2024-12-31,Travel Desk,Food,8739.68,Cash,Seed 446
2022-08-08,Travel Desk,Investments,16368.51,Bank,Seed 447
2024-08-16,Fuel Pump,Debt Payment,7658.7,Bank,Seed 448
2024-05-03,Swiggy,Education,2570.67,Bank,Seed 449
2025-05-31,Electricity Board,Housing,20052.92,UPI,Seed 450
2023-11-19,Swiggy,Family,16078.25,Card,Seed 451
2024-03-18,Uber,Food,30646.45,Card,Seed 452
2023-04-01,School,Healthcare,18112.92,Card,Seed 453
2023-01-06,Pharmacy,Shopping,37024.63,UPI,Seed 454
2025-08-12,Supermarket,Shopping,18061.4,Cash,Seed 455
2025-04-18,School,Shopping,1535.21,UPI,Seed 456
2022-01-16,Supermarket,Utilities,40335.87,Cash,Seed 457
2025-05-14,Uber,Debt Payment,43659.32,Card,Seed 458
2024-06-12,Travel Desk,Family,23262.78,UPI,Seed 459
2024-09-28,Electricity Board,Insurance,33275.36,Bank,Seed 460
2024-02-10,Pharmacy,Housing,21418.82,Card,Seed 461
2023-10-31,School,Healthcare,19768.14,Bank,Seed 462
2025-09-15,Pharmacy,Housing,5347.43,Card,Seed 463
2023-06-25,Electricity Board,Food,38269.97,Cash,Seed 464
2025-05-23,School,Transport,2721.58,UPI,Seed 465
2023-10-21,Fuel Pump,Insurance,31975.55,UPI,Seed 466
2024-09-16,Pharmacy,Insurance,42935.77,Cash,Seed 467
2023-08-07,Pharmacy,Education,25550.06,Card,Seed 468
2022-06-14,Travel Desk,Debt Payment,27120.22,Card,Seed 469
2023-04-05,Uber,Entertainment,5975.93,Cash,Seed 470
2023-06-23,Swiggy,Education,3423.1,Bank,Seed 471
2024-07-22,Travel Desk,Insurance,33661.53,UPI,Seed 472
2024-06-28,Amazon,Food,12357.19,UPI,Seed 473
2024-03-12,Swiggy,Other,8535.03,Cash,Seed 474
2024-04-09,Fuel Pump,Food,2464.67,Bank,Seed 475
2022-08-06,Uber,Utilities,19293.4,UPI,Seed 476
2025-11-21,Swiggy,Investments,44301.15,Bank,Seed 477
2025-07-24,Travel Desk,Debt Payment,17247.34,Bank,Seed 478
2024-12-18,School,Utilities,5502.71,UPI,Seed 479
2024-01-29,Swiggy,Insurance,42770.03,Bank,Seed 480
2022-04-06,Amazon,Food,15721.89,Cash,Seed 481
2024-10-28,Amazon,Investments,32477.17,UPI,Seed 482
2022-08-06,Uber,Housing,25999.64,Card,Seed 483
2025-04-16,School,Other,12674.97,Card,Seed 484
2025-05-14,Amazon,Education,2996.48,Card,Seed 485
2023-10-25,Uber,Other,37124.99,Cash,Seed 486
2022-08-24,Pharmacy,Healthcare,31471.28,Bank,Seed 487
2025-04-12,Swiggy,Utilities,29891.52,Card,Seed 488
2023-04-30,Electricity Board,Utilities,35617.08,Cash,Seed 489
2023-09-20,Electricity Board,Transport,37176.64,Cash,Seed 490
2023-11-04,Electricity Board,Food,4970.43,UPI,Seed 491
2025-03-31,Supermarket,Insurance,42247.53,Bank,Seed 492
2022-04-21,Travel Desk,Investments,14558.79,Card,Seed 493
2022-08-19,Swiggy,Travel,31544.35,Card,Seed 494
2025-12-20,School,Healthcare,25072.53,Cash,Seed 495
2022-12-02,School,Transport,35759.49,Cash,Seed 496
2023-06-26,Uber,Family,26504.18,Card,Seed 497
2024-08-29,School,Education,40260.76,Cash,Seed 498
2025-05-18,Fuel Pump,Utilities,25053.33,UPI,Seed 499
2022-01-05,Pharmacy,Family,22004.9,Bank,Seed 500
2022-07-09,Electricity Board,Shopping,3494.87,Card,Seed 501
2022-03-02,Supermarket,Other,6872.22,UPI,Seed 502
2024-08-20,Uber,Utilities,42650.56,Cash,Seed 503
2025-12-11,Fuel Pump,Entertainment,22871.18,Cash,Seed 504
2025-05-11,Uber,Education,26953.14,Bank,Seed 505
2023-09-19,Pharmacy,Shopping,4475.22,Card,Seed 506
2024-01-27,Amazon,Debt Payment,3219.9,UPI,Seed 507
2025-10-27,Amazon,Entertainment,20319.92,UPI,Seed 508
2023-01-05,Supermarket,Utilities,32881.59,Bank,Seed 509
2025-03-17,Amazon,Food,44676.39,UPI,Seed 510
2025-06-20,Fuel Pump,Housing,13947.09,Cash,Seed 511
2023-04-02,Fuel Pump,Travel,33205.75,Card,Seed 512
2022-06-11,Electricity Board,Insurance,7048.54,Cash,Seed 513
2025-02-01,Supermarket,Healthcare,29739.92,Card,Seed 514
2023-05-12,Pharmacy,Insurance,13723.14,UPI,Seed 515
2022-02-01,Swiggy,Utilities,19530.69,Bank,Seed 516
2023-04-24,Electricity Board,Family,18356.44,UPI,Seed 517
2025-08-04,Swiggy,Healthcare,34728.12,Card,Seed 518
2025-09-23,Fuel Pump,Healthcare,24707.46,UPI,Seed 519
2025-11-20,School,Shopping,15279.09,Bank,Seed 520
2025-05-10,School,Utilities,39645.53,Card,Seed 521
2022-10-20,Fuel Pump,Utilities,8768.9,UPI,Seed 522
2025-08-13,Supermarket,Other,6635.06,Bank,Seed 523
2025-12-11,Pharmacy,Food,28102.88,UPI,Seed 524
2025-10-18,Swiggy,Other,19901.87,Cash,Seed 525
2024-10-16,Pharmacy,Transport,10656.37,UPI,Seed 526
2022-12-05,Electricity Board,Healthcare,21339.04,Cash,Seed 527
2024-04-27,Supermarket,Transport,10278.21,Cash,Seed 528
2024-02-04,Swiggy,Investments,34071.28,Cash,Seed 529
2023-03-22,Supermarket,Housing,40990.16,Card,Seed 530
2022-06-02,Uber,Healthcare,40823.71,UPI,Seed 531
2025-03-21,Fuel Pump,Travel,12347.56,Cash,Seed 532
2022-09-04,Supermarket,Food,4982.88,Bank,Seed 533
2025-06-17,Uber,Insurance,33806.39,Bank,Seed 534
2022-05-21,Supermarket,Investments,33881.65,Bank,Seed 535
2024-07-31,Pharmacy,Education,35135.12,Bank,Seed 536
2023-04-26,Amazon,Entertainment,7792.76,Cash,Seed 537
2025-07-08,Uber,Food,26592.72,Cash,Seed 538
2023-11-01,Uber,Food,43519.57,Cash,Seed 539
2025-01-11,School,Transport,31393.22,UPI,Seed 540
2023-06-29,Swiggy,Travel,17625.98,Bank,Seed 541
2023-05-24,Swiggy,Insurance,29291.79,Cash,Seed 542
2025-04-19,School,Investments,44499.18,Bank,Seed 543
2024-05-31,Travel Desk,Family,36245.34,Cash,Seed 544
2025-01-25,Supermarket,Utilities,12074.42,UPI,Seed 545
2025-09-22,Uber,Shopping,43565.4,UPI,Seed 546
2022-08-12,Fuel Pump,Other,5014.97,Card,Seed 547
2024-05-09,Fuel Pump,Insurance,40875.73,Bank,Seed 548
2025-02-07,Electricity Board,Insurance,18030.86,Cash,Seed 549
2024-10-12,Fuel Pump,Shopping,1605.07,Bank,Seed 550
2023-03-01,Pharmacy,Healthcare,14415.54,Card,Seed 551
2024-07-31,Uber,Utilities,14823.1,UPI,Seed 552
2022-06-27,Uber,Debt Payment,22628.39,UPI,Seed 553
2025-06-12,Uber,Insurance,35210.45,Cash,Seed 554
2025-06-02,Electricity Board,Shopping,19547.55,UPI,Seed 555
2023-02-27,Electricity Board,Shopping,22846.22,Card,Seed 556
2023-06-07,Amazon,Debt Payment,38031.2,UPI,Seed 557
2025-06-27,School,Family,40588.2,Cash,Seed 558
2025-12-26,Supermarket,Shopping,21111.79,Card,Seed 559
2022-03-11,Supermarket,Healthcare,8356.56,Bank,Seed 560
2023-10-09,Uber,Food,21167.73,Cash,Seed 561
2025-08-31,Amazon,Education,39065.53,Card,Seed 562
2023-07-25,School,Other,20459.35,Bank,Seed 563
2022-09-11,Fuel Pump,Insurance,36532.63,Bank,Seed 564
2023-09-15,Travel Desk,Utilities,27331.84,Cash,Seed 565
2024-08-04,Supermarket,Education,37881.03,Cash,Seed 566
2022-06-03,Swiggy,Healthcare,6934.55,Card,Seed 567
2025-10-15,Fuel Pump,Entertainment,12519.78,Card,Seed 568
2022-01-28,Fuel Pump,Transport,23728.6,Bank,Seed 569
2024-06-04,School,Other,15966.6,Card,Seed 570
2023-03-07,Fuel Pump,Housing,32378.47,Card,Seed 571
2022-12-25,Travel Desk,Housing,24379.23,UPI,Seed 572
2022-10-03,Electricity Board,Healthcare,39030.55,Bank,Seed 573
2024-05-05,Swiggy,Housing,40697.4,Bank,Seed 574
2024-05-27,School,Family,42756.67,Card,Seed 575
2022-02-06,Swiggy,Education,11046.1,Card,Seed 576
2023-05-03,Swiggy,Family,11423.84,Card,Seed 577
2026-01-07,Fuel Pump,Other,13988.58,UPI,Seed 578
2024-12-07,Pharmacy,Food,34434.23,Bank,Seed 579
2025-01-09,School,Utilities,14334.47,Card,Seed 580
2025-03-04,Fuel Pump,Transport,10944.58,Bank,Seed 581
2022-10-21,Fuel Pump,Other,9991.4,UPI,Seed 582
2022-03-05,Fuel Pump,Other,13040.8,Card,Seed 583
2024-12-07,Swiggy,Entertainment,3214.26,Cash,Seed 584
2025-03-15,Pharmacy,Insurance,32371.91,Cash,Seed 585
2022-05-03,Supermarket,Debt Payment,34903.7,Bank,Seed 586
2025-04-29,Uber,Housing,16735.97,Bank,Seed 587
2023-04-08,School,Housing,4852.03,UPI,Seed 588
2023-08-05,Pharmacy,Other,40727.57,Card,Seed 589
2022-04-01,Electricity Board,Housing,39046.69,Card,Seed 590
2025-06-22,School,Housing,22946.32,Bank,Seed 591
2024-02-04,Uber,Healthcare,1146.6,UPI,Seed 592
2022-04-27,School,Food,7286.28,Cash,Seed 593
2025-07-15,Swiggy,Shopping,7554.71,Card,Seed 594
2023-01-19,Swiggy,Debt Payment,15109.48,UPI,Seed 595
2024-04-09,Swiggy,Housing,22738.28,Bank,Seed 596
2022-10-06,Travel Desk,Insurance,28070.14,Cash,Seed 597
2023-12-16,Travel Desk,Transport,26235.86,UPI,Seed 598
2022-04-29,Pharmacy,Family,1768.26,Card,Seed 599
2025-08-29,Travel Desk,Shopping,29222.14,Cash,Seed 600
2022-07-17,Fuel Pump,Debt Payment,43510.61,UPI,Seed 601
2025-11-14,Electricity Board,Shopping,18887.53,UPI,Seed 602
2023-07-03,Uber,Entertainment,36138.59,UPI,Seed 603
2026-02-12,Fuel Pump,Insurance,28035.2,Cash,Seed 604
2024-05-24,Electricity Board,Insurance,26232.68,Bank,Seed 605
2022-10-09,Amazon,Housing,4499.64,Card,Seed 606
2024-02-11,Amazon,Housing,42947.83,Bank,Seed 607
2024-07-02,Fuel Pump,Family,39185.98,Cash,Seed 608
2025-01-30,Uber,Food,13291.73,Card,Seed 609
2023-01-01,Fuel Pump,Other,7762.77,Cash,Seed 610
2023-11-15,Swiggy,Travel,31599.78,Cash,Seed 611
2023-06-23,Uber,Other,28057.45,Cash,Seed 612
2025-12-25,Swiggy,Other,10329.39,Bank,Seed 613
2023-09-26,Electricity Board,Investments,29510.59,Card,Seed 614
2024-07-07,Swiggy,Family,23122.57,UPI,Seed 615
2025-03-30,Travel Desk,Shopping,41437.8,Card,Seed 616
2023-05-07,School,Entertainment,24384.02,Card,Seed 617
2025-05-20,Travel Desk,Investments,27470.86,Bank,Seed 618
2022-08-16,Uber,Investments,37802.91,UPI,Seed 619
2023-08-16,School,Housing,16915.71,Cash,Seed 620
2023-02-13,School,Family,36106.64,Bank,Seed 621
2022-03-08,Travel Desk,Shopping,21524.97,Bank,Seed 622
2025-04-01,Amazon,Travel,10171.72,Card,Seed 623
2025-05-09,Supermarket,Insurance,39959.03,Cash,Seed 624
2022-06-15,Electricity Board,Housing,19636.15,Cash,Seed 625
2022-03-02,Fuel Pump,Food,26669.49,UPI,Seed 626
2024-02-22,Swiggy,Travel,40828.08,Card,Seed 627
2022-05-25,School,Healthcare,38475.85,Bank,Seed 628
2023-10-24,Pharmacy,Housing,10309.17,UPI,Seed 629
2024-08-11,Pharmacy,Insurance,33096.83,Card,Seed 630
2024-06-28,Fuel Pump,Transport,6033.48,Cash,Seed 631
2024-07-21,Amazon,Shopping,30885.86,Card,Seed 632
2022-07-18,School,Other,34423.89,Bank,Seed 633
2023-09-14,Uber,Other,37578.81,Card,Seed 634
2023-07-21,Swiggy,Healthcare,24866.49,Card,Seed 635
2025-12-01,Supermarket,Entertainment,5585.49,Bank,Seed 636
2022-04-03,Pharmacy,Food,13451.79,Cash,Seed 637
2023-03-12,School,Insurance,1186.74,Card,Seed 638
2024-04-05,Travel Desk,Shopping,24666.6,Card,Seed 639
2022-12-24,Supermarket,Entertainment,30726.04,Card,Seed 640
2023-03-22,Electricity Board,Entertainment,31673.63,Cash,Seed 641
2024-12-03,Supermarket,Investments,5490.05,Bank,Seed 642
2023-09-20,Travel Desk,Entertainment,31061.81,Card,Seed 643
2023-01-27,Travel Desk,Food,19902.0,Bank,Seed 644
2025-11-21,Swiggy,Transport,44623.55,Cash,Seed 645
2023-04-01,Swiggy,Transport,25204.18,Card,Seed 646
2023-12-05,School,Shopping,7467.0,Bank,Seed 647
2025-06-18,Amazon,Food,4591.42,Bank,Seed 648
2023-10-16,Fuel Pump,Education,25139.91,Card,Seed 649
2025-11-26,Electricity Board,Insurance,26844.19,Cash,Seed 650
2023-03-30,Supermarket,Entertainment,36785.54,Card,Seed 651
2022-01-22,Pharmacy,Housing,560.89,Cash,Seed 652
2022-08-28,Uber,Shopping,9367.85,Cash,Seed 653
2025-01-25,Fuel Pump,Family,42534.18,UPI,Seed 654
2025-07-02,Amazon,Housing,34534.08,Cash,Seed 655
2022-11-04,Amazon,Food,10461.4,UPI,Seed 656
2024-04-12,Travel Desk,Entertainment,42992.74,UPI,Seed 657
2022-06-13,Amazon,Investments,6647.73,UPI,Seed 658
2023-10-21,Amazon,Entertainment,25387.16,Card,Seed 659
2023-06-16,Pharmacy,Entertainment,21034.43,UPI,Seed 660
2024-05-27,School,Education,41652.62,UPI,Seed 661
2024-06-20,Supermarket,Entertainment,19538.65,Card,Seed 662
2024-04-09,Pharmacy,Shopping,3147.61,UPI,Seed 663
2023-08-13,School,Shopping,26802.84,Cash,Seed 664
2025-05-02,Pharmacy,Housing,25079.02,Cash,Seed 665
2022-05-05,Fuel Pump,Shopping,28467.54,Cash,Seed 666
2024-05-03,Swiggy,Transport,44984.07,Bank,Seed 667
2024-09-10,Travel Desk,Entertainment,44211.63,Cash,Seed 668
2022-12-23,Fuel Pump,Shopping,14212.44,Bank,Seed 669
2022-12-04,Supermarket,Investments,26996.98,UPI,Seed 670
2024-05-02,Supermarket,Insurance,8764.5,Bank,Seed 671
2024-12-04,Travel Desk,Shopping,22249.98,Card,Seed 672
2024-06-24,Fuel Pump,Transport,13899.81,Bank,Seed 673
2023-06-08,Amazon,Utilities,16013.49,Cash,Seed 674
2023-11-20,School,Investments,37542.92,Bank,Seed 675
2023-07-03,Travel Desk,Shopping,32800.84,Bank,Seed 676
2023-09-18,Supermarket,Healthcare,11527.23,Cash,Seed 677
2025-09-12,Supermarket,Healthcare,6292.79,UPI,Seed 678
2023-01-30,Amazon,Entertainment,6787.7,Bank,Seed 679
2022-09-23,Fuel Pump,Other,23430.68,Card,Seed 680
2025-02-07,Electricity Board,Insurance,23101.57,Card,Seed 681
2023-06-02,Electricity Board,Travel,26558.12,Card,Seed 682
2024-11-01,Pharmacy,Debt Payment,17472.16,UPI,Seed 683
2023-05-27,Pharmacy,Investments,173.38,Card,Seed 684
2023-10-30,Pharmacy,Insurance,33186.64,Card,Seed 685
2023-03-15,Supermarket,Housing,25514.52,Card,Seed 686
2022-04-18,Travel Desk,Investments,29345.87,Cash,Seed 687
2025-11-09,Uber,Investments,20790.19,Card,Seed 688
2025-03-24,Travel Desk,Education,1670.01,Cash,Seed 689
2024-08-01,Fuel Pump,Utilities,42856.95,Bank,Seed 690
2023-03-06,Swiggy,Debt Payment,2125.17,Card,Seed 691
2022-12-28,Uber,Shopping,22399.8,UPI,Seed 692
2022-05-15,Travel Desk,Transport,23778.24,Cash,Seed 693
2024-08-21,Amazon,Family,13251.85,Card,Seed 694
2022-10-05,Fuel Pump,Healthcare,20054.28,Card,Seed 695
2023-05-21,Swiggy,Entertainment,17307.08,Bank,Seed 696
2025-02-15,Electricity Board,Shopping,29212.94,Bank,Seed 697
2024-07-24,Uber,Investments,44897.93,Cash,Seed 698
2023-06-10,Amazon,Housing,42969.9,Bank,Seed 699
2024-04-06,Fuel Pump,Housing,40045.24,UPI,Seed 700
2024-08-12,Travel Desk,Investments,32446.24,Cash,Seed 701
2022-06-06,School,Travel,16259.25,Cash,Seed 702
2023-04-12,Uber,Housing,26569.09,Cash,Seed 703
2024-01-23,Electricity Board,Family,43859.81,Card,Seed 704
2024-06-23,Electricity Board,Debt Payment,17461.6,Card,Seed 705
2022-03-01,School,Other,15694.44,Card,Seed 706
2025-09-01,Electricity Board,Education,36300.71,Cash,Seed 707
2024-06-08,Pharmacy,Education,10683.32,Bank,Seed 708
2025-04-08,School,Family,2784.86,Bank,Seed 709
2022-09-20,Fuel Pump,Debt Payment,44523.53,UPI,Seed 710
2024-10-21,Amazon,Shopping,40327.78,UPI,Seed 711
2022-09-19,Swiggy,Investments,12519.79,UPI,Seed 712
2023-11-24,Travel Desk,Shopping,13571.16,Card,Seed 713
2022-10-30,Swiggy,Insurance,31327.31,UPI,Seed 714
2025-01-12,Uber,Utilities,4810.17,Bank,Seed 715
2023-07-20,Amazon,Shopping,32376.53,Card,Seed 716
2025-01-02,Fuel Pump,Food,32450.17,UPI,Seed 717
2023-08-31,School,Travel,16678.53,Cash,Seed 718
2023-08-26,Amazon,Other,8137.04,Cash,Seed 719
2022-12-25,School,Entertainment,44043.46,UPI,Seed 720
2024-09-12,School,Healthcare,25891.27,Cash,Seed 721
2025-09-23,Swiggy,Insurance,39045.65,Bank,Seed 722
2023-01-20,Supermarket,Education,30516.47,Cash,Seed 723
2023-05-12,Electricity Board,Shopping,12504.75,Cash,Seed 724
2024-02-17,Swiggy,Debt Payment,23026.07,UPI,Seed 725
2023-07-10,Fuel Pump,Food,14944.09,Card,Seed 726
2025-08-03,Fuel Pump,Food,44804.58,Bank,Seed 727
2024-12-30,Fuel Pump,Travel,17244.95,Card,Seed 728
2022-02-03,Amazon,Investments,44743.81,Bank,Seed 729
2022-04-18,Electricity Board,Utilities,40434.02,UPI,Seed 730
2025-09-12,Uber,Transport,36231.27,Bank,Seed 731
2024-08-07,Supermarket,Transport,41826.01,Card,Seed 732
2022-07-14,Supermarket,Investments,35388.15,UPI,Seed 733
2024-11-14,Travel Desk,Debt Payment,21614.12,Bank,Seed 734
2022-03-31,Fuel Pump,Healthcare,27131.57,Bank,Seed 735
2024-03-06,Travel Desk,Food,40043.97,UPI,Seed 736
2023-03-26,Supermarket,Other,32039.28,Cash,Seed 737
2022-08-26,Electricity Board,Travel,25134.86,Bank,Seed 738
2025-11-26,Supermarket,Utilities,10382.01,Cash,Seed 739
2022-06-09,Uber,Other,19380.53,UPI,Seed 740
2022-07-11,Travel Desk,Transport,12587.09,Bank,Seed 741
2022-06-15,Electricity Board,Other,3180.77,Bank,Seed 742
2024-02-14,Travel Desk,Education,2151.7,UPI,Seed 743
2026-02-05,School,Other,24693.51,UPI,Seed 744
2024-06-10,School,Travel,25674.66,UPI,Seed 745
2024-09-14,School,Shopping,16086.21,Bank,Seed 746
2025-03-01,Swiggy,Healthcare,32571.03,Bank,Seed 747
2022-05-19,Amazon,Education,28453.13,Card,Seed 748
2023-09-17,Supermarket,Debt Payment,32607.31,UPI,Seed 749
2022-08-18,Amazon,Healthcare,21094.77,Bank,Seed 750
2023-07-24,Amazon,Insurance,17070.33,UPI,Seed 751
2024-07-23,Pharmacy,Housing,40118.99,Cash,Seed 752
2024-04-07,Travel Desk,Investments,22913.73,Bank,Seed 753
2023-11-18,Electricity Board,Insurance,29377.7,Card,Seed 754
2025-03-27,Electricity Board,Insurance,1268.53,Bank,Seed 755
2023-12-04,Pharmacy,Shopping,40928.1,UPI,Seed 756
2024-06-13,Swiggy,Insurance,30702.14,UPI,Seed 757
2024-11-27,School,Healthcare,11491.93,UPI,Seed 758
2022-01-24,Travel Desk,Family,28463.21,Card,Seed 759
2023-08-12,Travel Desk,Education,17871.91,Bank,Seed 760
2024-09-20,Supermarket,Travel,40629.56,Cash,Seed 761
2025-11-22,Uber,Other,16418.37,Card,Seed 762
2023-04-30,Amazon,Education,8905.26,UPI,Seed 763
2025-12-19,Electricity Board,Entertainment,37674.52,Cash,Seed 764
2025-08-18,Uber,Entertainment,2098.98,Card,Seed 765
2025-08-31,Amazon,Investments,13429.43,Card,Seed 766
2022-11-15,Pharmacy,Insurance,9683.39,UPI,Seed 767
2024-12-12,Uber,Investments,20647.31,UPI,Seed 768
2025-12-22,Fuel Pump,Shopping,12364.4,UPI,Seed 769
2025-01-26,Travel Desk,Housing,35930.82,Card,Seed 770
2023-08-02,Electricity Board,Transport,13528.86,UPI,Seed 771
2023-12-02,Uber,Other,1919.2,Bank,Seed 772
2022-11-20,Swiggy,Other,38453.43,Card,Seed 773
2025-08-10,Fuel Pump,Entertainment,29503.64,Card,Seed 774
2022-08-15,Amazon,Housing,21969.16,Bank,Seed 775
2024-09-01,Electricity Board,Transport,27938.63,Card,Seed 776
2022-10-07,Amazon,Other,6536.1,Card,Seed 777
2025-05-24,Uber,Family,31268.8,Card,Seed 778
2025-06-06,Uber,Transport,26729.19,UPI,Seed 779
2024-05-29,Amazon,Insurance,3748.34,Cash,Seed 780
2025-08-24,Amazon,Transport,18102.71,Card,Seed 781
2025-06-11,Travel Desk,Utilities,2057.75,UPI,Seed 782
2025-04-21,Uber,Healthcare,13633.75,Bank,Seed 783
2025-04-08,Fuel Pump,Shopping,43477.68,Card,Seed 784
2024-11-15,Swiggy,Housing,12083.29,UPI,Seed 785
2026-01-01,Uber,Healthcare,29896.55,Cash,Seed 786
2025-12-22,School,Investments,593.88,Card,Seed 787
2022-06-10,Pharmacy,Education,43221.48,Card,Seed 788
2022-07-12,Swiggy,Healthcare,26100.64,Cash,Seed 789
2023-01-25,Swiggy,Education,4701.91,Card,Seed 790
2025-09-19,Swiggy,Housing,3767.8,Card,Seed 791
2022-06-19,Swiggy,Investments,23694.64,Cash,Seed 792
2022-02-07,Supermarket,Transport,34112.74,Card,Seed 793
2024-09-03,School,Food,37894.02,UPI,Seed 794
2025-12-03,Fuel Pump,Debt Payment,31616.87,Bank,Seed 795
2022-07-18,Amazon,Utilities,13907.61,Card,Seed 796
2023-06-22,Supermarket,Healthcare,22098.42,UPI,Seed 797
2023-07-07,Supermarket,Healthcare,513.96,Bank,Seed 798
2023-01-02,Uber,Transport,6460.63,UPI,Seed 799
2023-03-10,School,Entertainment,43008.34,Bank,Seed 800
